Origin,Distance_Result
227735,0.198011
228317,0.353194
228496,0.133071
228517,0.159652
228925,0.048518
228979,0.161306
229367,0.339418
229874,0.168755
230321,0.032253
230854,0.211553
230877,0.167293
230956,0.273676
231414,0.111825
232612,0.227849
232618,0.471434
233189,0.455173
233638,0.09265
233662,0.126945
234184,0.188193
234870,0.214321
235552,0.27219
235651,0.05578
235951,0.241961
235960,0.191061
236671,0.074784
236788,0.131327
236806,0.27311
237127,0.25189
237210,0.131847
239055,0.133729
239733,0.269494
239766,0.108537
239826,0.239068
239883,0.14501
239899,0.109241
240800,0.313166
241140,0.111572
241159,0.240043
241862,0.081942
242532,0.05975
242643,0.089942
243229,0.033551
243708,0.111038
245504,0.200775
245544,0.148324
245574,0.067286
245607,0.113131
246134,0.293513
246351,0.231956
246916,0.206078
246938,0.014578
248865,0.315178
248871,0.077208
249414,0.023654
249618,0.292627
249867,0.195884
250259,0.138989
250311,0.104294
250323,0.154371
250536,0.229459
250537,0.211377
250801,0.089391
251262,0.067259
251277,0.155074
252076,0.044029
252607,0.006176
253332,0.231616
253466,0.332708
253471,0.292385
253475,0.304921
253548,0.347628
253590,0.131056
253623,0.131129
253800,0.349998
253803,0.344436
253806,0.312873
253811,0.329052
253815,0.312853
253828,0.325405
253839,0.312448
253842,0.345398
253846,0.349117
254131,0.179892
254168,0.306317
254409,0.076682
255024,0.114126
255476,0.159751
255601,0.211665
255957,0.035043
256078,0.085127
256328,0.202825
256369,0.249802
257097,0.08272
257568,0.113398
257787,0.022375
258284,0.189456
258397,0.233789
258686,0.980304
258688,0.137595
258690,0.276641
258740,0.084552
258838,1.220089
258876,1.14192
259946,1.126128
260451,0.325745
260765,0.424586
261194,0.203839
261259,0.065131
261344,0.041614
261674,0.013264
261781,0.061926
262343,0.149633
262405,0.341388
262478,0.082886
262583,0.061516
263005,0.511189
263190,0.213944
263232,0.159227
263502,0.196645
263776,0.125888
263888,0.194543
264323,0.136306
265036,0.122863
265064,0.170495
265145,0.042141
265506,0.091684
265831,0.130497
265912,0.055472
266146,0.165131
266155,0.147445
266351,0.134088
266437,0.047428
266449,0.079826
266756,0.160915
267376,0.316263
267435,0.243657
267535,0.535661
267652,0.330334
267708,0.168706
268392,0.042466
268481,0.268935
268868,0.26455
269283,0.304219
269889,0.096103
270139,0.32541
270231,0.02529
270315,0.400995
270345,0.042249
270680,0.216497
270681,0.164761
271083,0.173001
271128,0.082953
271130,0.208423
271694,0.132477
271950,0.077961
271954,0.18481
272026,0.16577
272044,0.224863
272427,0.24821
272706,0.331495
272738,0.141833
273190,0.027318
273256,0.282117
274062,0.109427
274329,0.18808
274376,0.09834
274743,0.178696
275976,0.466972
276216,0.37992
276317,0.124438
276482,0.167726
277207,0.229122
277370,0.08853
277883,0.162612
278090,0.275764
278145,0.081564
278631,0.323291
278876,0.032794
279093,0.081726
279857,0.255801
279969,0.263165
280315,0.347418
281521,0.099923
281756,0.089161
281851,0.270556
282341,0.286204
282443,0.130514
282514,0.112111
282863,0.287046
282977,0.315314
283072,0.167185
283090,0.516542
283184,0.129703
283272,0.04782
283550,0.152901
284208,0.078714
284855,0.318562
285442,0.146339
285492,0.058709
285716,0.232399
286662,0.162264
286838,0.197056
287397,0.278923
287408,0.233578
287417,0.223468
287421,0.435731
287481,0.156023
287839,0.025089
287845,0.042733
289020,0.208317
289037,0.133062
289288,0.128997
289665,0.114243
289703,0.094289
289958,0.032783
289995,0.260068
290457,0.336038
291524,0.336935
291714,0.325924
291812,0.114582
292047,0.068209
292121,0.030249
292266,0.147171
292637,0.135034
293004,0.19012
293837,0.172889
294227,0.315922
294239,0.158161
294242,0.246941
294250,0.094517
294259,0.311647
294263,0.301463
294280,0.274061
294297,0.235621
294353,0.041683
294490,0.261615
294717,0.19598
295231,0.263274
295379,0.424994
295998,0.145887
296345,0.050937
296361,0.115257
296658,0.15271
296717,0.073787
296844,0.049239
297611,0.381704
297962,0.416162
298073,0.088433
298759,0.353
298854,0.144014
299062,0.23999
299078,0.050307
299531,0.226193
299699,0.339034
301034,0.135778
302057,0.212679
302758,0.307794
303345,0.071687
303462,0.150268
304799,0.144526
305211,0.226155
306702,0.092658
306799,0.158888
309342,0.116476
310220,0.289301
310272,0.358367
310325,0.08771
310338,0.026344
310524,0.31743
310796,0.190914
311003,0.126128
311343,0.209763
311356,0.161479
312429,0.103068
313890,0.122858
314982,0.090513
316238,0.151003
317838,0.172741
317905,0.086773
318021,0.117947
318187,0.099786
319724,0.368612
319798,0.167807
319844,0.250377
320865,0.050709
320876,0.155242
320877,0.276975
321014,0.106692
321136,0.033727
322037,0.215521
322604,0.138397
322974,0.06785
323706,0.0265
324115,0.355031
324517,0.232574
324800,0.053451
325429,0.010517
326832,0.184029
326956,0.144215
327521,0.125734
327778,0.427068
328040,0.212798
328693,0.132675
328744,0.280977
329064,0.120694
329310,0.154109
329385,0.101272
333189,0.361968
333323,0.247464
334607,0.238359
334781,0.20966
335797,0.209693
335819,0.200147
335820,0.209008
336220,0.147228
339456,0.194532
341525,0.227614
341982,0.13433
342027,0.00932
342965,0.310789
342995,0.20541
343276,0.179795
343971,0.30529
344019,0.236265
344068,0.045777
344092,0.204278
346248,0.162746
346805,0.092807
347865,0.377654
349841,0.319968
350168,0.048516
350525,0.1186
351530,0.310994
351859,0.012723
352651,0.093499
352864,0.093412
353317,0.055102
354095,0.188824
355106,0.146221
356230,0.104326
357509,0.260227
359982,0.041906
360400,0.022176
361803,0.138868
363320,0.051142
363673,0.141976
364275,0.111473
364785,0.09923
367042,0.092285
367810,0.369174
369411,0.231081
369567,0.155845
369671,0.275376
371138,0.551863
373618,0.298734
374548,0.419266
375249,4.11577
377217,0.147154
378460,0.031877
380416,0.22858
380730,0.243238
382523,0.193568
382524,0.111682
385190,0.064137
385657,0.148986
385824,0.497938
386555,0.248662
386744,0.098833
386799,0.031181
387324,0.144903
387377,0.121812
387666,0.059223
387735,0.353154
389482,0.244255
391948,0.386054
391955,0.595385
392948,0.36677
393016,0.114729
393094,0.052537
393682,0.027385
394026,0.228407
394111,0.212185
394235,0.016896
396636,0.03119
397034,0.16837
397297,0.325438
397420,0.101628
398281,0.196301
398283,0.17964
399946,0.121301
400039,0.233964
400466,0.050396
401579,0.068611
401836,0.156963
402037,0.073166
403056,0.200795
403264,0.08217
403668,0.255115
404502,0.312632
404923,0.20012
405025,0.121356
405408,0.121782
406926,0.113119
406992,0.229988
407469,0.26972
408491,0.120559
408983,0.187595
409262,0.116928
409293,0.282309
409666,0.299128
411336,0.038159
411525,0.315746
411918,0.083761
412061,0.189645
412180,0.295322
413504,0.065966
413775,0.240641
413876,0.067066
414801,0.155045
415304,0.139071
416557,0.367594
417685,0.020033
418291,0.184822
419373,0.516091
419792,0.084152
421554,0.390533
422040,0.100379
424192,0.190662
424667,0.278652
424767,0.076567
424889,0.121317
424930,0.254181
425784,0.222314
428226,0.101813
430427,0.048762
430665,0.021112
431865,0.066762
432090,0.043833
433218,0.028405
433414,0.071309
433914,0.874889
434792,0.182983
435774,0.005735
435776,0.071019
435909,0.135995
435946,0.086129
436510,0.227316
436619,0.129882
436824,0.117498
436916,0.083487
437352,0.032193
437906,0.282559
438513,0.183904
439750,0.079762
439870,0.107389
442636,0.269803
442649,0.054816
443646,0.124135
444171,0.293429
444430,0.098047
446367,0.043641
447766,0.337008
447840,0.378108
448048,0.256994
448049,0.151901
449034,0.184234
449130,0.212685
449660,0.187581
449680,0.135532
450009,1.147056
450577,0.048125
450578,0.134159
450905,0.299795
452068,0.397262
452541,0.163457
453094,0.13552
453161,0.154691
453255,0.093145
453317,0.061148
454334,0.188082
454763,0.060141
454929,0.09047
455734,0.178034
455801,0.168045
456110,0.07114
456190,0.213802
456457,0.065381
456526,0.205289
457829,0.156172
458154,0.19272
458377,0.102089
459066,0.294064
460036,0.186777
460999,0.051158
461050,0.115011
462454,0.056803
463107,0.198042
464231,0.049956
465277,0.178944
466277,0.244212
466457,0.527003
467569,0.253248
467634,2.508004
467866,0.176974
468613,0.090929
470090,0.107209
470370,0.146892
470498,0.153607
470709,0.264019
471712,0.173031
471758,0.181728
471845,0.193851
471914,0.114595
472052,0.393468
472376,0.33912
472546,0.240224
473592,0.086391
473777,0.111396
474283,0.129795
475216,0.142442
476527,0.146702
476570,0.066446
476571,0.105293
476899,0.315203
476983,0.018579
478053,0.224935
478385,0.228332
478832,0.135663
478949,0.018459
479002,0.070351
479263,0.026387
479285,0.245728
479867,0.085081
480549,0.403569
481022,0.372226
482365,0.151401
482765,0.08018
483414,0.318354
483485,0.074081
483505,0.445951
484297,0.145751
484312,0.213033
484728,0.263007
485026,0.139787
486350,0.078741
488083,0.301115
489018,0.245844
489365,0.036292
489924,0.125912
489965,0.500392
490011,0.333197
490278,0.25297
490989,0.240619
491123,0.141468
491529,0.326702
491942,0.095069
491977,0.180162
493177,0.162904
493611,0.151313
494296,0.536165
494937,0.057259
495249,0.494715
495348,0.203839
496166,0.056459
497370,0.218557
498052,0.307217
498120,0.355003
498859,0.332327
500845,0.327515
500886,0.329952
501041,0.057063
501082,0.123564
501098,0.097628
501693,0.084273
502132,0.048782
502309,0.265025
502429,0.302971
503460,2.655601
503529,0.16115
503585,0.202747
503722,0.239117
503790,0.071897
504322,0.149147
504362,0.128516
504394,0.062324
504437,0.114097
505029,0.479717
505231,0.036027
505315,0.305288
506121,0.242443
506527,0.079001
506571,0.29468
506575,0.095322
507393,0.361732
509989,0.10296
510218,0.266762
510454,0.242447
511436,0.48765
511733,0.117058
511960,0.17442
512209,0.084188
512210,0.26186
512775,0.197055
513343,0.156998
513688,0.152921
514457,0.387051
514548,0.038158
515392,0.134916
516452,0.039692
516461,0.190351
516643,0.130028
516791,0.084512
517626,0.196109
517654,0.123397
518566,0.15532
518576,0.301862
518960,0.207318
519310,0.040995
521018,0.407864
521038,0.210479
521522,0.112043
521672,0.071879
