ID,LATITUDE,LONGITUDE,ZIP
20283433,40.713890000,-73.951030000,11211
20283488,40.764100000,-73.918790000,11103
20284068,40.674230000,-73.957370000,11238
20284463,40.830820000,-73.946770000,10031
20284711,40.761630000,-73.993350000,10036
20285167,40.766090000,-73.993960000,10019
20285257,40.713400000,-73.990690000,10002
20285258,40.676500000,-73.982050000,11215
20286116,40.705150000,-73.923490000,11237
20286743,40.742470000,-73.889490000,11373
20286744,40.673900000,-73.933720000,11213
20287051,40.707810000,-74.000510000,10038
20287322,40.712610000,-73.996090000,10002
20291879,40.691320000,-73.944940000,11221
20292523,40.722060000,-73.994970000,10012
20294316,40.636010000,-73.915030000,11236
20296968,40.761250000,-73.992990000,10036
20297560,40.695570000,-73.904300000,11385
20299266,40.731030000,-74.003190000,10014
20300137,40.725260000,-73.981280000,10009
20302205,40.702160000,-73.899440000,11385
20303322,40.642100000,-73.981710000,11218
20304193,40.640070000,-73.980110000,11218
20304291,40.801960000,-73.936270000,10035
20304654,40.722680000,-73.989300000,10002
20304656,40.804160000,-73.955570000,10026
20305160,40.595460000,-74.060920000,10305
20305451,40.674810000,-73.972580000,11217
20305686,40.764060000,-73.909590000,11103
20305785,40.704910000,-73.836140000,11418
20306155,40.665240000,-73.732830000,11422
20306217,40.664580000,-73.734640000,11422
20306472,40.692560000,-73.960580000,11205
20306746,40.664000000,-73.733000000,11422
20308253,40.745000000,-73.949510000,11101
20308615,40.824060000,-73.893400000,10459
20308703,40.690720000,-73.926740000,11221
20308833,40.668720000,-73.934510000,11213
20308927,40.674470000,-73.976050000,11215
20309089,40.624930000,-74.028370000,11209
20309202,40.710350000,-74.017220000,10280
20309353,40.712370000,-73.959800000,11211
20309605,40.720150000,-74.004350000,10013
20311253,40.688830000,-73.948210000,11216
20314852,40.817300000,-73.955710000,10027
20316497,40.886670000,-73.914940000,10463
20319662,40.668820000,-73.922450000,11233
20320826,40.681610000,-73.952370000,11216
20321714,40.748190000,-73.972010000,10017
20321803,40.695750000,-73.969660000,11205
20322611,40.690950000,-73.950170000,11216
20322645,40.758790000,-73.981550000,10019
20323803,40.720170000,-73.984120000,10002
20325356,40.733720000,-73.997040000,10011
20325804,40.709120000,-74.007210000,10038
20325986,40.704230000,-73.915950000,11237
20326252,40.706440000,-73.760720000,11412
20326395,40.720740000,-73.943200000,11222
20327659,40.737750000,-73.983190000,10010
20328568,40.721060000,-73.959740000,11211
20328884,40.676530000,-73.973700000,11217
20329223,40.740750000,-73.981620000,10016
20330081,40.885150000,-73.914110000,10463
20330243,40.815450000,-73.946130000,10030
20330822,40.793120000,-73.968860000,10025
20331226,40.817480000,-73.944840000,10030
20331468,40.785600000,-73.975390000,10024
20331502,40.797300000,-73.961800000,10025
20331717,40.738910000,-73.982950000,10010
20331995,40.701710000,-73.829910000,11418
20332555,40.763020000,-73.982110000,10019
20332842,40.761810000,-73.988650000,10019
20333200,40.773450000,-73.987740000,10023
20333471,40.832960000,-73.886680000,10460
20333831,40.679070000,-73.949160000,11216
20337158,40.747480000,-73.864700000,11368
20345108,40.810120000,-73.958250000,10027
20346887,40.846840000,-73.932520000,10033
20350538,40.739930000,-74.001470000,10011
20350704,40.804190000,-73.947920000,10026
20353880,40.681810000,-74.004620000,11231
20355009,40.816980000,-73.939680000,10030
20355471,40.733840000,-73.954070000,11222
20356040,40.788280000,-73.943850000,10029
20356256,40.729820000,-73.983710000,10003
20356479,40.690720000,-73.925310000,11221
20356506,40.765800000,-73.990870000,10019
20356797,40.678010000,-73.845900000,11417
20356865,40.713270000,-73.947630000,11211
20356917,40.800410000,-73.954010000,10026
20357796,40.791480000,-73.944600000,10029
20358824,40.695220000,-73.942260000,11206
20359408,40.739720000,-73.978390000,10016
20361914,40.702580000,-73.924660000,11237
20362110,40.818760000,-73.939740000,10030
20362385,40.737440000,-73.881360000,11373
20363178,40.672870000,-73.910500000,11233
20363207,40.760440000,-73.998820000,10036
20364111,40.755990000,-73.967690000,10022
20364240,40.673890000,-73.933630000,11213
20365504,40.685180000,-73.992470000,11201
20373836,40.708740000,-74.013420000,10006
20376152,40.683850000,-73.956270000,11238
20379446,40.694450000,-73.938280000,11206
20379828,40.689110000,-73.941450000,11221
20381341,40.701820000,-73.918800000,11237
20382522,40.821600000,-73.936790000,10039
20384987,40.761220000,-73.985830000,10036
20385039,40.674250000,-73.872790000,11208
20385260,40.720990000,-73.960070000,11211
20385467,40.837200000,-73.843450000,10461
20386575,40.674600000,-73.872930000,11208
20387176,40.700310000,-73.917180000,11237
20387244,40.674670000,-73.873790000,11208
20387644,40.622670000,-74.029890000,11209
20387815,40.816290000,-73.941310000,10030
20388056,40.735940000,-73.979470000,10010
20389491,40.665830000,-73.935630000,11213
20389872,40.713510000,-73.960380000,11211
20390763,40.827440000,-73.947070000,10031
20390786,40.721780000,-73.986450000,10002
20392393,40.743300000,-73.979190000,10016
20393120,40.788990000,-73.947270000,10029
20394608,40.820940000,-73.953660000,10031
20394813,40.679880000,-73.973750000,11217
20394850,40.770020000,-73.961830000,10021
20395266,40.754610000,-73.919030000,11101
20395432,40.712790000,-73.941540000,11211
20395608,40.832430000,-73.886080000,10460
20395737,40.683700000,-73.951100000,11216
20396246,40.816770000,-73.939270000,10030
20400190,40.742820000,-73.876550000,11373
20401541,40.723110000,-73.981610000,10009
20403568,40.726420000,-73.945740000,11222
20404055,40.845900000,-73.942190000,10032
20404264,40.788900000,-73.948200000,10029
20405148,40.757700000,-73.966200000,10022
20405868,40.618970000,-74.036750000,11209
20405958,40.776000000,-73.988150000,10023
20406102,40.734960000,-73.987230000,10003
20406188,40.644190000,-73.959470000,11226
20406627,40.750010000,-73.873580000,11372
20406782,40.685570000,-73.985370000,11217
20406982,40.643940000,-73.995240000,11219
20407916,40.710410000,-73.966300000,11211
20409753,40.726090000,-73.978650000,10009
20411065,40.795110000,-73.847300000,11356
20412160,40.740420000,-73.978220000,10016
20412884,40.758780000,-73.970690000,10022
20417560,40.758180000,-73.913980000,11103
20417878,40.670610000,-73.931510000,11213
20418684,40.722080000,-73.977790000,10009
20419339,40.720370000,-73.946240000,11222
20420152,40.772650000,-73.948330000,10028
20420311,40.685130000,-73.909870000,11207
20420499,40.685310000,-73.974510000,11217
20420507,40.680100000,-73.940720000,11216
20421016,40.656900000,-73.956800000,11225
20423928,40.686530000,-73.943800000,11221
20424288,40.721710000,-74.003960000,10013
20424312,40.691450000,-73.921520000,11221
20425060,40.688610000,-73.952140000,11216
20425394,40.744180000,-73.999900000,10011
20425579,40.763470000,-73.987850000,10019
20425734,40.742730000,-73.904580000,11377
20425764,40.759050000,-73.932030000,11106
20426726,40.634880000,-73.890150000,11236
20427684,40.749670000,-73.863110000,11368
20431492,40.691730000,-73.951040000,11206
20432615,40.795740000,-73.963120000,10025
20432888,40.738940000,-73.986510000,10010
20433620,40.752050000,-73.985640000,10018
20433673,40.724430000,-74.001410000,10012
20435261,40.671330000,-73.978590000,11215
20435343,40.704390000,-73.925460000,11237
20435636,40.727670000,-73.950840000,11222
20435714,40.883040000,-73.882780000,10467
20435773,40.725000000,-73.977110000,10009
20436075,40.757540000,-73.730680000,11362
20436117,40.707280000,-73.954610000,11211
20437233,40.835560000,-73.910980000,10456
20437854,40.714180000,-73.942980000,11211
20438015,40.783040000,-73.973090000,10024
20440249,40.649400000,-74.009670000,11220
20440400,40.726980000,-73.989480000,10003
20440432,40.821980000,-73.957710000,10031
20440757,40.655560000,-73.929260000,11203
20441507,40.705110000,-74.008280000,10005
20441901,40.689800000,-73.960120000,11205
20445845,40.713940000,-73.956690000,11211
20448558,40.629850000,-74.017380000,11209
20450185,40.732370000,-73.959520000,11222
20451100,40.813320000,-73.948690000,10027
20451532,40.735470000,-73.954950000,11222
20452330,40.678370000,-73.954220000,11238
20452409,40.751740000,-73.972130000,10017
20454481,40.881650000,-73.906330000,10463
20455415,40.694040000,-73.987500000,11201
20457624,40.768380000,-73.925640000,11102
20458372,40.795320000,-73.963440000,10025
20458607,40.705610000,-73.923780000,11237
20459381,40.733340000,-73.994160000,10003
20459741,40.634580000,-73.945540000,11210
20459818,40.693800000,-73.948360000,11206
20460009,40.744090000,-73.971670000,10016
20464496,40.710500000,-73.815890000,11435
20465477,40.685970000,-73.985070000,11217
20466016,40.759470000,-73.822630000,11355
20467141,40.806660000,-73.957030000,10026
20469195,40.725640000,-73.986820000,10003
20469589,40.672570000,-73.977750000,11215
20474033,40.725720000,-73.939090000,11222
20476397,40.733250000,-73.999710000,10011
20476779,40.642620000,-74.080660000,10301
20478863,40.770280000,-73.916650000,11102
20479197,40.769720000,-73.926620000,11102
20479561,40.782690000,-73.952880000,10128
20479960,40.710890000,-73.853840000,11375
20480133,40.797870000,-73.968020000,10025
20480431,40.663930000,-73.927900000,11212
20480983,40.819410000,-73.927620000,10451
20481106,40.713410000,-73.965540000,11211
20481653,40.801940000,-73.956020000,10026
20482130,40.684480000,-73.963850000,11238
20482151,40.765570000,-73.989490000,10019
20482231,40.672420000,-73.986140000,11215
20482284,40.760220000,-73.926170000,11106
20482768,40.587790000,-73.947030000,11235
20483387,40.689700000,-73.930780000,11221
20483469,40.716770000,-73.833980000,11375
20483744,40.760930000,-73.991030000,10036
20485253,40.710500000,-74.006410000,10038
20486011,40.799710000,-73.951750000,10026
20491800,40.680030000,-73.990390000,11231
20493318,40.664020000,-73.897900000,11207
20494330,40.694670000,-73.914440000,11221
20494672,40.681070000,-73.978760000,11217
20495252,40.825500000,-73.941190000,10039
20495736,40.708290000,-73.943690000,11206
20497487,40.761630000,-73.990080000,10036
20497853,40.746000000,-73.977700000,10016
20498261,40.728680000,-73.982440000,10009
20498407,40.762550000,-73.923470000,11106
20498653,40.700140000,-73.921500000,11237
20499040,40.693490000,-73.911730000,11221
20499229,40.677540000,-73.943050000,11216
20499306,40.668500000,-73.948420000,11225
20499320,40.810650000,-73.945700000,10027
20499692,40.742830000,-73.998430000,10011
20500896,40.790990000,-73.945000000,10029
20501156,40.675850000,-73.873070000,11208
20501444,40.819320000,-73.946750000,10030
20503496,40.698830000,-73.900770000,11385
20503786,40.662020000,-73.961950000,11225
20503824,40.680170000,-73.936740000,11233
20503833,40.797380000,-73.963320000,10025
20504269,40.765380000,-73.987110000,10019
20504573,40.752570000,-73.968530000,10017
20505271,40.683790000,-73.791860000,11434
20505979,40.718560000,-73.987530000,10002
20506481,40.739820000,-74.001100000,10011
20506551,40.845450000,-73.941720000,10032
20511790,40.708070000,-73.730590000,11429
20515035,40.823250000,-73.951220000,10031
20516112,40.709940000,-73.948670000,11206
20517554,40.721200000,-73.994630000,10012
20518193,40.670520000,-73.934440000,11213
20518456,40.707440000,-74.015210000,10006
20520410,40.802700000,-73.939800000,10035
20520689,40.711210000,-73.950790000,11211
20521092,40.701410000,-73.923680000,11237
20521505,40.665430000,-73.954390000,11225
20522061,40.739690000,-73.989620000,10010
20523741,40.690060000,-73.869170000,11208
20523843,40.694670000,-73.924330000,11221
20523979,40.757510000,-73.964640000,10022
20524177,40.768340000,-73.956470000,10021
20527413,40.718980000,-73.984720000,10002
20529328,40.685760000,-73.945600000,11216
20529760,40.686090000,-73.944800000,11216
20530264,40.685540000,-73.945660000,11216
20532190,40.661140000,-73.912580000,11212
20532490,40.707430000,-73.967860000,11211
20533007,40.691990000,-73.959080000,11205
20534562,40.779850000,-73.946240000,10128
20535577,40.653100000,-73.963310000,11226
20535581,40.688670000,-73.971920000,11238
20537153,40.735140000,-74.006470000,10014
20538305,40.721040000,-73.979910000,10009
20539089,40.734530000,-74.002380000,10014
20539354,40.751720000,-73.972120000,10017
20540868,40.765460000,-73.872010000,11369
20541408,40.800460000,-73.965980000,10025
20541640,40.694390000,-73.993960000,11201
20541715,40.850310000,-73.901020000,10457
20541892,40.764370000,-73.919370000,11103
20542273,40.710120000,-73.964620000,11211
20542510,40.596690000,-74.086450000,10305
20547687,40.730550000,-73.989280000,10003
20548717,40.749830000,-73.986460000,10001
20549878,40.822390000,-73.954370000,10031
20552326,40.681560000,-73.768440000,11434
20552425,40.699610000,-73.921320000,11237
20552544,40.652650000,-73.965590000,11226
20553129,40.707910000,-73.938770000,11206
20553159,40.727270000,-73.988010000,10003
20553283,40.652860000,-73.932090000,11203
20555087,40.822790000,-73.952160000,10031
20555569,40.679660000,-73.928300000,11233
20556243,40.685570000,-73.960560000,11238
20556539,40.716450000,-73.850350000,11375
20556622,40.704140000,-73.744180000,11429
20557017,40.760690000,-73.833380000,11354
20557463,40.803890000,-73.965410000,10025
20557646,40.819160000,-73.945620000,10030
20557804,40.775310000,-73.951650000,10028
20558461,40.730860000,-73.856630000,11374
20561751,40.754720000,-73.804170000,11358
20565375,40.796740000,-73.946740000,10029
20565481,40.777400000,-73.960660000,10028
20566445,40.708340000,-73.947170000,11206
20567374,40.888830000,-73.900460000,10471
20568215,40.766380000,-73.990790000,10019
20568978,40.746350000,-73.981030000,10016
20569589,40.738200000,-73.998440000,10011
20570202,40.670500000,-73.878510000,11208
20570291,40.729170000,-73.955890000,11222
20570327,40.752870000,-73.973520000,10017
20570865,40.706820000,-73.945940000,11206
20571263,40.729580000,-74.003790000,10014
20572019,40.665920000,-73.942660000,11213
20572271,40.807310000,-73.965790000,10025
20572398,40.714750000,-73.941970000,11211
20572472,40.684810000,-73.969400000,11238
20572801,40.792000000,-73.945220000,10029
20572837,40.639750000,-74.077740000,10301
20572848,40.846170000,-73.937810000,10033
20573255,40.680480000,-73.965400000,11238
20573565,40.704630000,-73.924280000,11237
20573818,40.712390000,-73.905170000,11385
20574057,40.690930000,-73.992900000,11201
20575645,40.788810000,-73.828820000,11357
20580419,40.654410000,-73.930090000,11203
20581137,40.710150000,-74.012810000,10006
20581430,40.852170000,-73.902390000,10457
20581823,40.897560000,-73.856390000,10466
20581903,40.662550000,-73.913420000,11212
20582759,40.699690000,-73.993930000,11201
20582991,40.748440000,-73.977130000,10016
20583124,40.693000000,-73.997740000,11201
20583325,40.748200000,-73.975250000,10016
20583443,40.719020000,-73.990270000,10002
20583769,40.660340000,-73.914160000,11212
20584207,40.669410000,-73.938490000,11213
20584333,40.693420000,-73.958770000,11205
20584605,40.713580000,-73.964210000,11211
20586070,40.774400000,-73.987400000,10023
20586647,40.789980000,-73.946000000,10029
20587057,40.713800000,-73.940010000,11211
20587133,40.870850000,-73.918300000,10034
20587159,40.725470000,-73.983150000,10009
20587567,40.748470000,-74.000330000,10001
20587755,40.687960000,-73.987830000,11201
20587853,40.709490000,-74.014380000,10006
20588062,40.772300000,-73.982220000,10023
20588184,40.832060000,-73.919690000,10456
20589142,40.700680000,-73.922110000,11237
20589695,40.729420000,-73.951220000,11222
20589880,40.767040000,-73.984840000,10019
20590180,40.638260000,-73.931860000,11203
20590523,40.721530000,-73.987650000,10002
20590743,40.728160000,-73.955280000,11222
20590800,40.669250000,-73.926630000,11213
20591404,40.761210000,-73.990530000,10036
20591509,40.639720000,-73.932340000,11203
20591534,40.720850000,-73.941320000,11222
20593268,40.756130000,-73.997850000,10018
20597491,40.667890000,-73.791970000,11436
20599017,40.721030000,-73.984340000,10002
20599362,40.711000000,-73.958270000,11211
20600247,40.753000000,-73.973640000,10017
20600357,40.651080000,-73.954170000,11226
20602769,40.693150000,-73.956500000,11205
20603008,40.692680000,-73.930540000,11221
20604857,40.746990000,-73.977700000,10016
20604989,40.732400000,-73.950910000,11222
20605308,40.727880000,-73.993900000,10012
20605399,40.635700000,-74.005080000,11219
20607037,40.748380000,-73.975440000,10016
20607505,40.752120000,-73.969750000,10017
20607771,40.763980000,-73.919740000,11103
20607819,40.809240000,-73.938730000,10037
20608040,40.707390000,-73.947260000,11206
20608117,40.724620000,-73.940720000,11222
20609505,40.841310000,-73.935740000,10032
20614043,40.669780000,-73.944540000,11213
20614820,40.716180000,-73.992250000,10002
20614953,40.691890000,-73.959360000,11205
20615793,40.792730000,-73.975920000,10025
20615932,40.696770000,-73.914040000,11237
20616239,40.721000000,-73.991470000,10002
20616492,40.732800000,-73.998990000,10011
